column,role,dtype,type,n_unique,likely_id
session_id,FEATURE,object,categorical,9537,True
network_packet_size,FEATURE,int64,numeric,959,False
protocol_type,FEATURE,object,categorical,3,False
login_attempts,FEATURE,int64,numeric,13,False
session_duration,FEATURE,float64,numeric,9532,False
encryption_used,FEATURE,object,categorical,2,False
ip_reputation_score,FEATURE,float64,numeric,9537,True
failed_logins,FEATURE,int64,numeric,6,False
browser_type,FEATURE,object,categorical,5,False
unusual_time_access,FEATURE,int64,numeric,2,False
attack_detected,TARGET,int64,numeric,2,False
